,name,domain,year founded,industry,size range,locality,country,linkedin url,current employee estimate,total employee estimate
4112520,american center of krasnodar,,,education management,10001+,,,linkedin.com/company/american-center-of-krasnodar,47345,47924
2187941,starbucks,starbucks.com,1971,retail,10001+,"seattle, washington, united states",united states,linkedin.com/company/starbucks,46523,147107
3936147,promobroker agente de seguros y de fianzas s a de c v,,,insurance,10001+,,,linkedin.com/company/promobroker-agente-de-seguros-y-de-fianzas-s-a-de-c-v,44926,45655
4107042,morgan stanley,morganstanley.com,1935,financial services,10001+,"new york, new york, united states",united states,linkedin.com/company/morgan-stanley,44799,141694
3117142,the home depot,homedepot.com,1977,retail,10001+,"atlanta, georgia, united states",united states,linkedin.com/company/the-home-depot,44630,114799
2118,independiente,ailinsemprini.com.ar,,photography,10001+,,,linkedin.com/company/independiente_28,44148,47788
4479252,novartis,novartis.com,1996,pharmaceuticals,10001+,"basel, basel-city, switzerland",switzerland,linkedin.com/company/novartis,44054,117021
1749711,johnson & johnson,jnj.com,1887,hospital & health care,10001+,"new brunswick, new jersey, united states",united states,linkedin.com/company/johnson-&-johnson,43985,118073
5505720,bp,bp.com,1909,oil & energy,10001+,"london, greater london, united kingdom",united kingdom,linkedin.com/company/bp,43657,106895
2596333,schneider electric,schneider-electric.com,1836,electrical/electronic manufacturing,10001+,"erlanger, kentucky, united states",united states,linkedin.com/company/schneider-electric,43240,94889
